RadiationAmt,RANK,,SUM,MAX,MIN
155,14,,5966,188,114
142,29,,,,
149,23,,,,
130,36,,COUNT,,STANDARD DEVIATION
151,16,,40,,14.98469304
163,7,,,,
151,16,,,,
142,29,,,MEAN,
156,12,,,149.15,
133,35,,,,
138,32,,,,
161,9,,,,
128,38,,,,
144,28,,,,
172,2,,,,
137,33,,,,
151,16,,,,
166,5,,,,
147,24,,,,
163,7,,,,
145,25,,,,
116,39,,,,
136,34,,,,
158,10,,,,
114,40,,,,
165,6,,,,
169,4,,,,
145,25,,,,
150,20,,,,
150,20,,,,
150,20,,,,
158,10,,,,
151,16,,,,
145,25,,,,
152,15,,,,
140,31,,,,
170,3,,,,
129,37,,,,
188,1,,,,
156,12,,,,
